Generating events file /home/ljishen/ycsb-rocksdb/analysis/data/db_bench/events.dat
Extracting sectors from events file to /home/ljishen/ycsb-rocksdb/analysis/data/db_bench/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    959880               96.741%           96.737%
0             W    12364                 1.246%            1.246%
8             W    6974                  0.703%            0.703%
680           W    1846                  0.186%            0.186%
440           W    1451                  0.146%            0.146%
16            W    1354                  0.136%            0.136%
2             W    931                   0.094%            0.094%
3             W    928                   0.094%            0.094%
32            W    742                   0.075%            0.075%
1             W    388                   0.039%            0.039%
64            W    356                   0.036%            0.036%
20            W    299                   0.030%            0.030%
19            W    268                   0.027%            0.027%
4             W    265                   0.027%            0.027%
17            W    262                   0.026%            0.026%
22            W    258                   0.026%            0.026%
18            W    254                   0.026%            0.026%
21            W    236                   0.024%            0.024%
24            W    216                   0.022%            0.022%
15            W    197                   0.020%            0.020%
14            W    189                   0.019%            0.019%
23            W    174                   0.018%            0.018%
13            W    156                   0.016%            0.016%
9             W    141                   0.014%            0.014%
7             W    135                   0.014%            0.014%
12            W    134                   0.014%            0.014%
6             W    133                   0.013%            0.013%
104           W    129                   0.013%            0.013%
25            W    128                   0.013%            0.013%
10            W    128                   0.013%            0.013%
26            W    117                   0.012%            0.012%
48            W    97                    0.010%            0.010%
11            W    96                    0.010%            0.010%
5             W    94                    0.009%            0.009%
56            W    90                    0.009%            0.009%
27            W    86                    0.009%            0.009%
40            W    78                    0.008%            0.008%
28            W    61                    0.006%            0.006%
29            W    58                    0.006%            0.006%
648           W    52                    0.005%            0.005%
30            W    48                    0.005%            0.005%
640           W    47                    0.005%            0.005%
632           W    33                    0.003%            0.003%
128           W    30                    0.003%            0.003%
31            W    28                    0.003%            0.003%
72            W    26                    0.003%            0.003%
624           W    24                    0.002%            0.002%
96            W    23                    0.002%            0.002%
35            W    21                    0.002%            0.002%
36            W    20                    0.002%            0.002%
0             R    18                   40.000%            0.002%
33            W    17                    0.002%            0.002%
34            W    15                    0.002%            0.002%
8             R    14                   31.111%            0.001%
656           W    13                    0.001%            0.001%
1             R    11                   24.444%            0.001%
80            W    10                    0.001%            0.001%
160           W    10                    0.001%            0.001%
808           W    9                     0.001%            0.001%
192           W    9                     0.001%            0.001%
38            W    7                     0.001%            0.001%
37            W    7                     0.001%            0.001%
600           W    6                     0.001%            0.001%
88            W    5                     0.001%            0.001%
816           W    5                     0.001%            0.001%
616           W    5                     0.001%            0.001%
39            W    4                     0.000%            0.000%
256           W    4                     0.000%            0.000%
536           W    3                     0.000%            0.000%
44            W    3                     0.000%            0.000%
448           W    3                     0.000%            0.000%
976           W    2                     0.000%            0.000%
888           W    2                     0.000%            0.000%
664           W    2                     0.000%            0.000%
544           W    2                     0.000%            0.000%
528           W    2                     0.000%            0.000%
51            W    2                     0.000%            0.000%
46            W    2                     0.000%            0.000%
464           W    2                     0.000%            0.000%
43            W    2                     0.000%            0.000%
41            W    2                     0.000%            0.000%
32            R    2                     4.444%            0.000%
832           W    1                     0.000%            0.000%
800           W    1                     0.000%            0.000%
728           W    1                     0.000%            0.000%
608           W    1                     0.000%            0.000%
552           W    1                     0.000%            0.000%
488           W    1                     0.000%            0.000%
42            W    1                     0.000%            0.000%
400           W    1                     0.000%            0.000%
392           W    1                     0.000%            0.000%
320           W    1                     0.000%            0.000%
272           W    1                     0.000%            0.000%
264           W    1                     0.000%            0.000%
224           W    1                     0.000%            0.000%
216           W    1                     0.000%            0.000%
176           W    1                     0.000%            0.000%
144           W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 45             [  0.005%]
Total write I/Os: 992216         [ 99.995%]
Total read sectors : 187         [  0.000%,       0.091MB]
Total write sectors: 985197302   [100.000%,  481053.370MB]
